Channel,LOB,Product,Category,Total Volume Eaches
Channel 1,LOB 1,Product 109,Category 2,355
Channel 1,LOB 2,Product 110,Category 4,261
Channel 1,LOB 1,Product 110,Category 4,7
Channel 1,LOB 2,Product 111,Category 4,1
Channel 1,LOB 2,Product 112,Category 4,9
Channel 1,LOB 2,Product 113,Category 4,7
Channel 1,LOB 2,Product 114,Category 4,28
Channel 1,LOB 2,Product 115,Category 4,0
Channel 1,LOB 2,Product 116,Category 4,4
Channel 1,LOB 1,Product 117,Category 1,24
Channel 1,LOB 1,Product 118,Category 2,213
Channel 1,LOB 1,Product 119,Category 2,315
Channel 1,LOB 1,Product 120,Category 2,116
Channel 1,LOB 2,Product 121,Category 2,1
Channel 1,LOB 1,Product 121,Category 2,3
Channel 1,LOB 2,Product 122,Category 2,244
Channel 1,LOB 1,Product 122,Category 2,65
Channel 1,LOB 2,Product 123,Category 2,7
Channel 1,LOB 2,Product 124,Category 2,19
Channel 1,LOB 2,Product 125,Category 1,1
Channel 1,LOB 2,Product 126,Category 2,23
Channel 1,LOB 1,Product 127,Category 1,4
Channel 1,LOB 1,Product 128,Category 1,11
Channel 1,LOB 1,Product 129,Category 1,1
Channel 1,LOB 1,Product 130,Category 2,1
Channel 1,LOB 2,Product 131,Category 2,2
Channel 1,LOB 1,Product 131,Category 2,1
Channel 1,LOB 1,Product 132,Category 2,2
Channel 1,LOB 1,Product 133,Category 1,25
Channel 1,LOB 2,Product 134,Category 1,10
Channel 1,LOB 1,Product 134,Category 1,889
Channel 1,LOB 2,Product 135,Category 2,128
Channel 1,LOB 1,Product 135,Category 2,276
Channel 1,LOB 1,Product 136,Category 1,1
Channel 1,LOB 1,Product 137,Category 2,1
Channel 1,LOB 1,Product 138,Category 1,135
Channel 1,LOB 1,Product 139,Category 1,12
Channel 1,LOB 2,Product 140,Category 1,438
Channel 1,LOB 1,Product 140,Category 1,605
Channel 1,LOB 2,Product 141,Category 1,1223
Channel 1,LOB 1,Product 141,Category 1,813
Channel 1,LOB 1,Product 142,Category 1,348
Channel 1,LOB 1,Product 143,Category 1,91889
Channel 1,LOB 2,Product 144,Category 2,3
Channel 1,LOB 1,Product 145,Category 1,4
Channel 1,LOB 1,Product 146,Category 1,5
Channel 1,LOB 2,Product 147,Category 1,15
Channel 1,LOB 1,Product 147,Category 1,27
Channel 1,LOB 1,Product 148,Category 1,7
Channel 1,LOB 1,Product 149,Category 2,12
Channel 1,LOB 2,Product 150,Category 2,42
Channel 1,LOB 1,Product 150,Category 2,2
Channel 1,LOB 2,Product 151,Category 2,108
Channel 1,LOB 1,Product 151,Category 2,61
Channel 1,LOB 2,Product 152,Category 2,561
Channel 1,LOB 1,Product 152,Category 2,76
Channel 1,LOB 2,Product 153,Category 2,431
Channel 1,LOB 1,Product 153,Category 2,171
Channel 1,LOB 2,Product 154,Category 2,193
Channel 1,LOB 1,Product 154,Category 2,10
Channel 1,LOB 2,Product 155,Category 2,469
Channel 1,LOB 1,Product 155,Category 2,33
Channel 1,LOB 2,Product 156,Category 2,238
Channel 1,LOB 1,Product 156,Category 2,8
Channel 1,LOB 2,Product 157,Category 2,10
Channel 1,LOB 2,Product 158,Category 2,154
Channel 1,LOB 1,Product 158,Category 2,6
Channel 1,LOB 2,Product 159,Category 2,131
Channel 1,LOB 1,Product 159,Category 2,22
Channel 1,LOB 2,Product 160,Category 2,12
Channel 1,LOB 2,Product 161,Category 2,1051
Channel 1,LOB 1,Product 161,Category 2,607
Channel 1,LOB 2,Product 162,Category 2,119
Channel 1,LOB 1,Product 162,Category 2,636
Channel 1,LOB 2,Product 163,Category 2,1099
Channel 1,LOB 1,Product 163,Category 2,67
Channel 1,LOB 2,Product 164,Category 2,110
Channel 1,LOB 1,Product 164,Category 2,54
Channel 1,LOB 2,Product 165,Category 3,336
Channel 1,LOB 1,Product 165,Category 3,245
Channel 1,LOB 1,Product 166,Category 1,1838
Channel 1,LOB 1,Product 167,Category 1,361
Channel 1,LOB 1,Product 168,Category 1,47662
Channel 1,LOB 2,Product 169,Category 1,17
Channel 1,LOB 1,Product 169,Category 1,12
Channel 1,LOB 2,Product 170,Category 1,12
Channel 1,LOB 1,Product 170,Category 1,91702
Channel 1,LOB 2,Product 171,Category 2,23
Channel 1,LOB 1,Product 171,Category 2,10
Channel 1,LOB 2,Product 172,Category 2,15
Channel 1,LOB 1,Product 172,Category 2,68
Channel 1,LOB 1,Product 173,Category 2,66
Channel 1,LOB 1,Product 174,Category 2,92
Channel 1,LOB 2,Product 175,Category 2,34
Channel 1,LOB 1,Product 175,Category 2,215
Channel 1,LOB 1,Product 176,Category 2,1
Channel 1,LOB 2,Product 177,Category 2,162
Channel 1,LOB 1,Product 177,Category 2,385
Channel 1,LOB 2,Product 178,Category 2,268
Channel 1,LOB 1,Product 178,Category 2,256
Channel 1,LOB 2,Product 179,Category 2,97
Channel 1,LOB 1,Product 179,Category 2,8
Channel 1,LOB 2,Product 180,Category 2,131
Channel 1,LOB 2,Product 181,Category 2,665
Channel 1,LOB 1,Product 181,Category 2,124
Channel 1,LOB 2,Product 182,Category 2,42
Channel 1,LOB 2,Product 183,Category 2,22
Channel 1,LOB 1,Product 183,Category 2,27
Channel 1,LOB 1,Product 184,Category 3,0
Channel 1,LOB 2,Product 185,Category 3,12960
Channel 1,LOB 1,Product 185,Category 3,13307
Channel 1,LOB 2,Product 186,Category 3,1056
Channel 1,LOB 1,Product 186,Category 3,10227
Channel 1,LOB 2,Product 187,Category 3,600
Channel 1,LOB 1,Product 187,Category 3,20817
Channel 1,LOB 2,Product 188,Category 3,175
Channel 1,LOB 2,Product 189,Category 2,70
Channel 1,LOB 1,Product 189,Category 2,69
Channel 1,LOB 2,Product 190,Category 3,147
Channel 1,LOB 1,Product 191,Category 1,7
Channel 1,LOB 2,Product 192,Category 1,70
Channel 1,LOB 1,Product 192,Category 1,44
Channel 1,LOB 2,Product 193,Category 1,103
Channel 1,LOB 1,Product 193,Category 1,210
Channel 1,LOB 2,Product 194,Category 1,33
Channel 1,LOB 1,Product 194,Category 1,2
Channel 1,LOB 2,Product 195,Category 1,21
Channel 1,LOB 2,Product 196,Category 1,310
Channel 1,LOB 1,Product 196,Category 1,198
Channel 1,LOB 2,Product 197,Category 2,15
Channel 1,LOB 1,Product 197,Category 2,7
Channel 1,LOB 2,Product 198,Category 2,189
Channel 1,LOB 1,Product 198,Category 2,49
Channel 1,LOB 2,Product 199,Category 2,96
Channel 1,LOB 2,Product 200,Category 2,9
Channel 1,LOB 1,Product 200,Category 2,44
Channel 1,LOB 2,Product 201,Category 2,59
Channel 1,LOB 1,Product 201,Category 2,101
Channel 1,LOB 2,Product 202,Category 2,81
Channel 1,LOB 1,Product 202,Category 2,41
Channel 1,LOB 2,Product 203,Category 2,47
Channel 1,LOB 1,Product 203,Category 2,99
Channel 1,LOB 2,Product 204,Category 2,43
Channel 1,LOB 1,Product 204,Category 2,147
Channel 1,LOB 2,Product 205,Category 2,2
Channel 1,LOB 1,Product 205,Category 2,1
Channel 1,LOB 1,Product 206,Category 2,33
Channel 1,LOB 2,Product 207,Category 2,3
Channel 1,LOB 1,Product 207,Category 2,3
Channel 1,LOB 2,Product 208,Category 1,1
Channel 1,LOB 1,Product 209,Category 2,361
Channel 1,LOB 1,Product 210,Category 2,571
Channel 1,LOB 1,Product 211,Category 2,890
Channel 1,LOB 2,Product 212,Category 2,6
Channel 1,LOB 2,Product 213,Category 2,2
Channel 1,LOB 2,Product 214,Category 2,45
Channel 1,LOB 2,Product 215,Category 2,87
Channel 1,LOB 1,Product 215,Category 2,107
Channel 1,LOB 2,Product 216,Category 2,138
Channel 1,LOB 1,Product 216,Category 2,15
Channel 1,LOB 2,Product 217,Category 2,176
Channel 1,LOB 1,Product 217,Category 2,384
Channel 1,LOB 2,Product 218,Category 2,1199
Channel 1,LOB 1,Product 218,Category 2,329
Channel 1,LOB 2,Product 219,Category 2,1
Channel 1,LOB 1,Product 219,Category 2,2
Channel 1,LOB 1,Product 220,Category 1,138
Channel 1,LOB 1,Product 221,Category 1,29
Channel 1,LOB 2,Product 222,Category 1,98
Channel 1,LOB 1,Product 222,Category 1,460
Channel 1,LOB 1,Product 223,Category 1,75
Channel 1,LOB 1,Product 224,Category 1,4
Channel 1,LOB 1,Product 225,Category 1,12
Channel 1,LOB 2,Product 226,Category 1,1
Channel 1,LOB 2,Product 227,Category 1,2
Channel 1,LOB 2,Product 228,Category 2,2
Channel 1,LOB 2,Product 229,Category 1,4
Channel 1,LOB 1,Product 229,Category 1,26790
Channel 1,LOB 2,Product 230,Category 1,4
Channel 1,LOB 2,Product 231,Category 2,80
Channel 1,LOB 1,Product 231,Category 2,398
Channel 1,LOB 2,Product 232,Category 2,12
Channel 1,LOB 1,Product 232,Category 2,829
Channel 1,LOB 1,Product 233,Category 2,205
Channel 1,LOB 1,Product 234,Category 2,1
Channel 1,LOB 2,Product 235,Category 2,9
Channel 1,LOB 1,Product 235,Category 2,273
Channel 1,LOB 2,Product 236,Category 2,56
Channel 1,LOB 2,Product 237,Category 2,106
Channel 1,LOB 1,Product 237,Category 2,316
Channel 1,LOB 2,Product 238,Category 2,39
Channel 1,LOB 2,Product 239,Category 2,39
Channel 1,LOB 1,Product 239,Category 2,87
Channel 1,LOB 2,Product 240,Category 2,6
Channel 1,LOB 2,Product 241,Category 2,1131
Channel 1,LOB 2,Product 242,Category 2,1
Channel 1,LOB 1,Product 242,Category 2,36
Channel 1,LOB 2,Product 243,Category 4,130
Channel 1,LOB 1,Product 243,Category 4,28
Channel 1,LOB 2,Product 244,Category 4,16
Channel 1,LOB 1,Product 245,Category 4,1
Channel 1,LOB 2,Product 246,Category 4,48
Channel 1,LOB 1,Product 246,Category 4,5
Channel 1,LOB 2,Product 247,Category 4,46
Channel 1,LOB 1,Product 247,Category 4,28
Channel 1,LOB 2,Product 248,Category 4,4
Channel 1,LOB 1,Product 248,Category 4,18
Channel 1,LOB 2,Product 249,Category 2,783
Channel 1,LOB 1,Product 249,Category 2,27
Channel 1,LOB 2,Product 250,Category 2,32
Channel 1,LOB 1,Product 250,Category 2,14
Channel 1,LOB 1,Product 251,Category 2,12
Channel 1,LOB 2,Product 252,Category 2,2
Channel 1,LOB 1,Product 253,Category 2,9
Channel 1,LOB 2,Product 254,Category 2,59
Channel 1,LOB 1,Product 255,Category 2,1
Channel 1,LOB 1,Product 256,Category 2,9
Channel 1,LOB 2,Product 257,Category 2,73
Channel 1,LOB 1,Product 257,Category 2,47
Channel 1,LOB 2,Product 258,Category 2,8
Channel 1,LOB 1,Product 258,Category 2,105
Channel 1,LOB 2,Product 259,Category 1,98
Channel 1,LOB 2,Product 260,Category 2,45
Channel 1,LOB 1,Product 260,Category 2,32
Channel 1,LOB 2,Product 261,Category 2,13
Channel 1,LOB 1,Product 261,Category 2,171
Channel 1,LOB 2,Product 262,Category 2,12
Channel 1,LOB 1,Product 262,Category 2,61
Channel 1,LOB 1,Product 263,Category 2,147
Channel 1,LOB 1,Product 264,Category 2,8
Channel 1,LOB 2,Product 265,Category 2,16
Channel 1,LOB 1,Product 265,Category 2,39
Channel 1,LOB 2,Product 266,Category 2,17
Channel 1,LOB 1,Product 266,Category 2,59
Channel 1,LOB 2,Product 267,Category 2,9
Channel 1,LOB 1,Product 267,Category 2,9
Channel 1,LOB 2,Product 268,Category 2,17
Channel 1,LOB 1,Product 268,Category 2,43
Channel 1,LOB 2,Product 269,Category 2,628
Channel 1,LOB 1,Product 269,Category 2,223
Channel 1,LOB 2,Product 270,Category 2,1
Channel 1,LOB 1,Product 270,Category 2,9
Channel 1,LOB 2,Product 271,Category 2,13
Channel 1,LOB 1,Product 271,Category 2,8
Channel 1,LOB 2,Product 272,Category 2,6
Channel 1,LOB 2,Product 273,Category 2,6
Channel 1,LOB 1,Product 273,Category 2,1
Channel 1,LOB 2,Product 274,Category 2,3
Channel 1,LOB 1,Product 274,Category 2,7
Channel 1,LOB 1,Product 275,Category 1,5
Channel 1,LOB 1,Product 276,Category 1,1
Channel 1,LOB 1,Product 277,Category 1,1
Channel 1,LOB 1,Product 278,Category 1,3
Channel 1,LOB 2,Product 279,Category 2,14
Channel 1,LOB 1,Product 279,Category 2,3
Channel 1,LOB 2,Product 280,Category 3,1656
Channel 1,LOB 1,Product 280,Category 3,24
Channel 1,LOB 2,Product 281,Category 1,844
Channel 1,LOB 1,Product 281,Category 1,176
Channel 1,LOB 2,Product 282,Category 1,403
Channel 1,LOB 1,Product 282,Category 1,51
Channel 1,LOB 2,Product 283,Category 2,48
Channel 1,LOB 2,Product 284,Category 2,18
Channel 1,LOB 2,Product 285,Category 2,4
Channel 1,LOB 2,Product 286,Category 2,50
Channel 1,LOB 2,Product 287,Category 2,1
Channel 1,LOB 2,Product 288,Category 2,27
Channel 1,LOB 2,Product 289,Category 3,2712
Channel 1,LOB 1,Product 289,Category 3,1598
Channel 1,LOB 2,Product 290,Category 3,696
Channel 1,LOB 1,Product 290,Category 3,1297
Channel 1,LOB 2,Product 291,Category 2,72
Channel 1,LOB 1,Product 291,Category 2,11
Channel 1,LOB 2,Product 292,Category 2,31
Channel 1,LOB 1,Product 292,Category 2,27
Channel 1,LOB 2,Product 293,Category 2,51
Channel 1,LOB 1,Product 293,Category 2,2
Channel 1,LOB 2,Product 294,Category 2,38
Channel 1,LOB 1,Product 294,Category 2,52
Channel 1,LOB 2,Product 295,Category 2,6
Channel 1,LOB 2,Product 296,Category 2,18
Channel 1,LOB 1,Product 296,Category 2,43
Channel 1,LOB 2,Product 297,Category 2,34
Channel 1,LOB 1,Product 298,Category 3,0
Channel 1,LOB 2,Product 299,Category 3,1272
Channel 1,LOB 1,Product 299,Category 3,1412
Channel 1,LOB 2,Product 300,Category 3,1368
Channel 1,LOB 1,Product 300,Category 3,24893
Channel 1,LOB 2,Product 301,Category 1,4
Channel 1,LOB 2,Product 302,Category 1,146
Channel 1,LOB 1,Product 302,Category 1,115
Channel 1,LOB 2,Product 303,Category 1,50
Channel 1,LOB 1,Product 303,Category 1,15
Channel 1,LOB 2,Product 304,Category 1,23
Channel 1,LOB 1,Product 304,Category 1,38
Channel 1,LOB 1,Product 305,Category 1,1
Channel 1,LOB 2,Product 306,Category 1,14
Channel 1,LOB 1,Product 306,Category 1,40
Channel 1,LOB 2,Product 307,Category 1,17
Channel 1,LOB 1,Product 307,Category 1,34
Channel 1,LOB 1,Product 308,Category 2,2
Channel 1,LOB 2,Product 309,Category 2,11
Channel 1,LOB 2,Product 310,Category 2,42
Channel 1,LOB 2,Product 311,Category 2,4
Channel 1,LOB 2,Product 312,Category 2,54
Channel 1,LOB 2,Product 313,Category 2,1257
Channel 1,LOB 1,Product 313,Category 2,44
Channel 1,LOB 2,Product 314,Category 2,2298
Channel 1,LOB 1,Product 314,Category 2,361
Channel 1,LOB 2,Product 315,Category 2,8
Channel 1,LOB 1,Product 316,Category 2,9
Channel 1,LOB 2,Product 317,Category 1,114
Channel 1,LOB 1,Product 317,Category 1,214
Channel 1,LOB 2,Product 318,Category 1,1143
Channel 1,LOB 1,Product 318,Category 1,140
Channel 1,LOB 1,Product 319,Category 1,15
Channel 1,LOB 1,Product 320,Category 1,6
Channel 1,LOB 2,Product 321,Category 2,9
Channel 1,LOB 2,Product 322,Category 2,3
Channel 1,LOB 1,Product 322,Category 2,12
Channel 1,LOB 2,Product 323,Category 2,35
Channel 1,LOB 1,Product 324,Category 1,71
Channel 1,LOB 2,Product 325,Category 2,4
Channel 1,LOB 1,Product 325,Category 2,1
Channel 1,LOB 1,Product 326,Category 1,12188
Channel 1,LOB 2,Product 327,Category 1,43
Channel 1,LOB 1,Product 327,Category 1,1958
Channel 1,LOB 2,Product 328,Category 1,17
Channel 1,LOB 1,Product 328,Category 1,34
Channel 1,LOB 2,Product 329,Category 1,12
Channel 1,LOB 1,Product 329,Category 1,18
Channel 1,LOB 1,Product 330,Category 1,97
Channel 1,LOB 2,Product 331,Category 1,33
Channel 1,LOB 1,Product 331,Category 1,5
Channel 1,LOB 2,Product 332,Category 1,30
Channel 1,LOB 1,Product 332,Category 1,694
Channel 1,LOB 2,Product 333,Category 1,1030
Channel 1,LOB 1,Product 333,Category 1,183
Channel 1,LOB 1,Product 334,Category 1,176
Channel 1,LOB 2,Product 335,Category 1,1292
Channel 1,LOB 1,Product 335,Category 1,275
Channel 1,LOB 2,Product 336,Category 1,4006
Channel 1,LOB 1,Product 336,Category 1,186
Channel 1,LOB 2,Product 337,Category 1,1
Channel 1,LOB 1,Product 337,Category 1,2046
Channel 1,LOB 1,Product 338,Category 1,7
Channel 1,LOB 2,Product 339,Category 2,2
Channel 1,LOB 1,Product 340,Category 1,101
Channel 1,LOB 1,Product 341,Category 1,581
Channel 1,LOB 2,Product 342,Category 3,4968
Channel 1,LOB 1,Product 342,Category 3,11514
Channel 1,LOB 2,Product 343,Category 3,48
Channel 1,LOB 1,Product 343,Category 3,170490
Channel 1,LOB 1,Product 344,Category 3,-1
Channel 1,LOB 2,Product 345,Category 3,7224
Channel 1,LOB 1,Product 345,Category 3,3868
Channel 1,LOB 2,Product 346,Category 3,2
Channel 1,LOB 2,Product 347,Category 3,2295
Channel 1,LOB 2,Product 348,Category 3,33
Channel 1,LOB 1,Product 349,Category 2,10
Channel 1,LOB 2,Product 350,Category 2,21
Channel 1,LOB 1,Product 351,Category 2,33
Channel 1,LOB 1,Product 352,Category 2,7
Channel 1,LOB 2,Product 353,Category 2,58
Channel 1,LOB 1,Product 353,Category 2,53
Channel 1,LOB 2,Product 354,Category 2,16
Channel 1,LOB 1,Product 354,Category 2,135
Channel 1,LOB 2,Product 355,Category 2,174
Channel 1,LOB 1,Product 355,Category 2,842
Channel 1,LOB 2,Product 356,Category 2,732
Channel 1,LOB 1,Product 356,Category 2,307
Channel 1,LOB 2,Product 357,Category 2,42
Channel 1,LOB 1,Product 357,Category 2,71
Channel 1,LOB 2,Product 358,Category 2,30
Channel 1,LOB 1,Product 358,Category 2,24
Channel 1,LOB 1,Product 359,Category 2,1
Channel 1,LOB 2,Product 360,Category 2,299
Channel 1,LOB 1,Product 360,Category 2,117
Channel 1,LOB 2,Product 361,Category 2,53
Channel 1,LOB 1,Product 361,Category 2,190
Channel 1,LOB 2,Product 362,Category 2,332
Channel 1,LOB 1,Product 362,Category 2,318
Channel 1,LOB 2,Product 363,Category 2,541
Channel 1,LOB 1,Product 363,Category 2,21
Channel 1,LOB 2,Product 364,Category 2,5
Channel 1,LOB 1,Product 364,Category 2,6
Channel 1,LOB 2,Product 365,Category 2,2
Channel 1,LOB 2,Product 366,Category 2,19
Channel 1,LOB 1,Product 366,Category 2,8
Channel 1,LOB 2,Product 367,Category 2,89
Channel 1,LOB 1,Product 367,Category 2,7
Channel 1,LOB 2,Product 368,Category 1,53
Channel 1,LOB 2,Product 369,Category 1,0
Channel 1,LOB 2,Product 370,Category 1,30
Channel 1,LOB 1,Product 370,Category 1,8
Channel 1,LOB 2,Product 371,Category 2,1207
Channel 1,LOB 1,Product 371,Category 2,254
Channel 1,LOB 2,Product 372,Category 2,1920
Channel 1,LOB 1,Product 372,Category 2,85
Channel 1,LOB 2,Product 373,Category 2,5
Channel 1,LOB 1,Product 373,Category 2,31
Channel 1,LOB 2,Product 374,Category 2,43
Channel 1,LOB 1,Product 374,Category 2,70
Channel 1,LOB 2,Product 375,Category 2,102
Channel 1,LOB 1,Product 375,Category 2,96
Channel 1,LOB 2,Product 376,Category 2,168
Channel 1,LOB 1,Product 376,Category 2,34
Channel 1,LOB 2,Product 377,Category 2,6
Channel 1,LOB 1,Product 377,Category 2,45
Channel 1,LOB 2,Product 378,Category 2,211
Channel 1,LOB 1,Product 378,Category 2,2
Channel 1,LOB 2,Product 379,Category 2,2003
Channel 1,LOB 1,Product 379,Category 2,286
Channel 1,LOB 2,Product 380,Category 2,431
Channel 1,LOB 1,Product 380,Category 2,450
Channel 1,LOB 2,Product 381,Category 1,22
Channel 1,LOB 1,Product 382,Category 1,14
Channel 1,LOB 2,Product 383,Category 2,2
Channel 1,LOB 2,Product 384,Category 2,6
Channel 1,LOB 1,Product 385,Category 2,7
Channel 1,LOB 2,Product 386,Category 2,38
Channel 1,LOB 1,Product 387,Category 2,15
Channel 1,LOB 2,Product 388,Category 2,973
Channel 1,LOB 1,Product 388,Category 2,71
Channel 1,LOB 2,Product 389,Category 3,216
Channel 1,LOB 1,Product 389,Category 3,631
Channel 1,LOB 2,Product 390,Category 2,184
Channel 1,LOB 1,Product 390,Category 2,65
Channel 1,LOB 2,Product 391,Category 2,27
Channel 1,LOB 1,Product 391,Category 2,51
Channel 1,LOB 2,Product 392,Category 2,301
Channel 1,LOB 1,Product 392,Category 2,31
Channel 1,LOB 2,Product 393,Category 2,26
Channel 1,LOB 1,Product 393,Category 2,1
Channel 1,LOB 2,Product 394,Category 2,131
Channel 1,LOB 1,Product 394,Category 2,47
